word,count,corpus,label,Zdenka_old_hand_label
ἀνθρώπινος,605,christian_0_300,-1.0,
ῥῆμα,602,christian_0_300,-1.0,
ἀφίημι,600,christian_0_300,-1.0,
κελεύω,600,christian_0_300,-1.0,
μυστήριον,598,christian_0_300,-1.0,
χωρέω,594,christian_0_300,-1.0,
νύξ,591,christian_0_300,-1.0,
κρατύς,589,christian_0_300,-1.0,
ἁμάρτημα,587,christian_0_300,7.0,
συνάγω,586,christian_0_300,-1,
ἁμαρτωλός,586,christian_0_300,7.0,
εὐχή,585,christian_0_300,-1.0,
ναός,584,christian_0_300,-1.0,
εἰρήνη,579,christian_0_300,-1.0,
οὐσία,576,christian_0_300,-1.0,
πέμπω,574,christian_0_300,-1.0,
τέχνη,570,christian_0_300,-1.0,
ἡγέομαι,568,christian_0_300,-1.0,
βάλλω,562,christian_0_300,-1.0,
παιδίον,561,christian_0_300,-1.0,
κεῖμαι,560,christian_0_300,-1.0,
φάσκω,559,christian_0_300,-1.0,
κεφαλή,557,christian_0_300,-1.0,
προσέρχομαι,553,christian_0_300,-1.0,
λογικός,553,christian_0_300,-1.0,
ὕλη,543,christian_0_300,-1.0,
ἀείρω,541,christian_0_300,-1.0,
καταβαίνω,540,christian_0_300,-1.0,
ἐλπίς,540,christian_0_300,-1.0,
προσκυνέω,538,christian_0_300,-1.0,
δῆλος,536,christian_0_300,-1.0,
πίνω,533,christian_0_300,-1.0,
διδασκαλία,533,christian_0_300,-1.0,
πρέσβυς,532,christian_0_300,-1.0,
πιστός,531,christian_0_300,-1.0,
ξύλον,530,christian_0_300,-1.0,
ἐξετάζω,530,christian_0_300,-1.0,
μαρτυρέω,529,christian_0_300,5.0,
ἐπιστρέφω,529,christian_0_300,5,
ἀριθμός,527,christian_0_300,-1.0,
εἶδον,527,christian_0_300,-1,
σκότος,523,christian_0_300,1.0,
Πέτρος,523,christian_0_300,-1,
ἐγείρω,521,christian_0_300,-1.0,
προφητεία,520,christian_0_300,-1.0,
κοινός,519,christian_0_300,-1.0,
μισέω,518,christian_0_300,3.0,
ἐπίσταμαι,518,christian_0_300,-1.0,
σημαίνω,517,christian_0_300,-1.0,
αἴτιος,514,christian_0_300,-1,
ἀνάστασις,513,christian_0_300,-1.0,
κηρύσσω,511,christian_0_300,-1.0,
παραλαμβάνω,509,christian_0_300,-1.0,
καταλείπω,506,christian_0_300,-1.0,
λύω,506,christian_0_300,-1.0,
εἷς,505,christian_0_300,-1.0,
Ἰούδας,503,christian_0_300,-1,
ἱερός,502,christian_0_300,-1.0,
ὥρα,502,christian_0_300,-1.0,
κρατέω,501,christian_0_300,5,
χρεία,499,christian_0_300,-1,
ἐναντίος,499,christian_0_300,7.0,
ἐπιφέρω,498,christian_0_300,-1.0,
παρατίθημι,497,christian_0_300,-1.0,
δημιουργός,493,christian_0_300,-1.0,
ἀποκτείνω,490,christian_0_300,5.0,
τιμή,490,christian_0_300,-1.0,
ἐρῆμος,487,christian_0_300,-1,
οἰκοδομέω,484,christian_0_300,-1.0,
δέχομαι,484,christian_0_300,-1.0,
ὀργή,484,christian_0_300,3,
ἀναλαμβάνω,483,christian_0_300,-1.0,
συμβαίνω,481,christian_0_300,-1.0,
ἐφίστημι,481,christian_0_300,-1.0,
εἶδος,479,christian_0_300,-1.0,
κολάζω,479,christian_0_300,1,
ἀνοίγνυμι,477,christian_0_300,-1.0,
ἀξιόω,477,christian_0_300,-1.0,
φυλή,476,christian_0_300,-1.0,
ἀναιρέω,473,christian_0_300,5,
χαίρω,468,christian_0_300,-1.0,
ῥητός,467,christian_0_300,-1.0,
πλῆθος,464,christian_0_300,-1.0,
πίπτω,462,christian_0_300,-1.0,
ἀγνοέω,461,christian_0_300,-1.0,
ἐργάζομαι,460,christian_0_300,-1.0,
εὐλογέω,460,christian_0_300,-1.0,
κινέω,459,christian_0_300,-1.0,
κόλασις,458,christian_0_300,1,
θυγάτηρ,456,christian_0_300,-1.0,
συνίημι,454,christian_0_300,-1.0,
διηγέομαι,454,christian_0_300,-1.0,
ἀληθινός,454,christian_0_300,-1.0,
βαπτίζω,453,christian_0_300,-1.0,
ἐνεργέω,453,christian_0_300,-1.0,
ἀνάγκη,453,christian_0_300,5,
θεραπεύω,452,christian_0_300,-1.0,
χώρα,451,christian_0_300,-1.0,
ἀδικέω,451,christian_0_300,4.0,
ἡμέτερος,451,christian_0_300,-1.0,
ἄρχων,450,christian_0_300,6.0,
καταλαμβάνω,450,christian_0_300,-1.0,
φιλοσοφία,449,christian_0_300,-1.0,
πλανάω,447,christian_0_300,1,
δεῖ,447,christian_0_300,-1.0,
μετανοέω,446,christian_0_300,-1.0,
ἐπαγγέλλω,446,christian_0_300,-1.0,
παρακαλέω,443,christian_0_300,-1.0,
τιμάω,439,christian_0_300,-1.0,
τάσσω,438,christian_0_300,-1.0,
ὑπολαμβάνω,437,christian_0_300,-1.0,
προστίθημι,435,christian_0_300,-1.0,
πειράω,434,christian_0_300,1,
ἀρχιερεύς,433,christian_0_300,6.0,
παραβολή,432,christian_0_300,-1.0,
Ζεύς,431,christian_0_300,-1,
ἀσεβής,431,christian_0_300,1.0,
διαφέρω,426,christian_0_300,-1.0,
ἄλογος,426,christian_0_300,4,
πρόνοια,423,christian_0_300,-1.0,
θηρίον,420,christian_0_300,1.0,
θέλημα,419,christian_0_300,-1.0,
φαῦλος,415,christian_0_300,2,
παρθένος,413,christian_0_300,-1.0,
οἰκεῖος,413,christian_0_300,-1.0,
φεύγω,412,christian_0_300,-1.0,
συνίστημι,411,christian_0_300,-1.0,
αἱρέω,411,christian_0_300,-1.0,
θυσία,405,christian_0_300,-1.0,
φθάνω,405,christian_0_300,-1.0,
ἀπατάω,405,christian_0_300,2,
προσεύχομαι,404,christian_0_300,-1.0,
οἰκία,403,christian_0_300,-1.0,
παλαιός,402,christian_0_300,-1.0,
ἀλλότριος,402,christian_0_300,7,
πρόβατον,401,christian_0_300,-1.0,
νέος,401,christian_0_300,-1.0,
θαυμάζω,398,christian_0_300,-1.0,
Αἰγύπτιος,398,christian_0_300,6,
ὀφείλω,394,christian_0_300,-1.0,
ἀποδείκνυμι,391,christian_0_300,-1.0,
προσφέρω,391,christian_0_300,-1.0,
ἔσχατος,391,christian_0_300,-1.0,
κτίσις,391,christian_0_300,-1.0,
φώς,391,christian_0_300,-1,
αἵρεσις,390,christian_0_300,1,
ἐπαίρω,389,christian_0_300,-1.0,
ὠφελέω,388,christian_0_300,-1.0,
καινός,388,christian_0_300,-1.0,
ἄδικος,388,christian_0_300,4.0,
ἀναγκαῖος,388,christian_0_300,-1.0,
βιβλίον,386,christian_0_300,-1.0,
κατοικέω,385,christian_0_300,-1.0,
βασιλεύω,385,christian_0_300,-1.0,
φρονέω,383,christian_0_300,-1.0,
ἱστορία,383,christian_0_300,-1.0,
ἐλαχύς,382,christian_0_300,-1.0,
πόνος,381,christian_0_300,5,
διώκω,380,christian_0_300,5.0,
ποιητής,380,christian_0_300,-1.0,
γάμος,378,christian_0_300,-1.0,
παραδέχομαι,378,christian_0_300,-1.0,
τολμάω,377,christian_0_300,-1.0,
τρέφω,377,christian_0_300,-1.0,
κτίζω,377,christian_0_300,-1.0,
φιλόσοφος,377,christian_0_300,-1.0,
Ἰακώβ,375,christian_0_300,-1,
ποταμός,375,christian_0_300,-1.0,
ἅπτω,375,christian_0_300,-1,
Πλάτων,375,christian_0_300,-1,
πύλη,374,christian_0_300,-1.0,
παιδεύω,372,christian_0_300,-1.0,
λογισμός,372,christian_0_300,-1.0,
ἐλεέω,371,christian_0_300,-1.0,
Αἴγυπτος,370,christian_0_300,,
νοητός,370,christian_0_300,-1.0,
παύω,369,christian_0_300,-1.0,
δαιμόνιον,368,christian_0_300,1.0,
ἀναφέρω,368,christian_0_300,-1.0,
σωματικός,368,christian_0_300,-1.0,
Χριστιανός,365,christian_0_300,-1,
κάλλος,364,christian_0_300,-1.0,
σπείρω,363,christian_0_300,-1.0,
ἀπολύω,363,christian_0_300,-1.0,
πρόκειμαι,362,christian_0_300,-1.0,
οἶνος,361,christian_0_300,-1.0,
ἐπιθυμέω,360,christian_0_300,4,
ἱερεύς,360,christian_0_300,6.0,
σαφής,360,christian_0_300,-1.0,
δεξιός,359,christian_0_300,-1.0,
ἐπαγγελία,359,christian_0_300,-1.0,
σίμων,359,christian_0_300,-1.0,
ἀδύνατος,357,christian_0_300,-1.0,
λογίζομαι,357,christian_0_300,-1.0,
ἐκτίθημι,357,christian_0_300,-1.0,
ψαλμός,354,christian_0_300,-1.0,
πλοῦτος,353,christian_0_300,-1.0,
νικάω,352,christian_0_300,-1.0,
ἐνέργεια,352,christian_0_300,-1.0,
ἀναγιγνώσκω,350,christian_0_300,-1.0,
ἐκβάλλω,350,christian_0_300,5,
μεταλαμβάνω,349,christian_0_300,-1.0,
ἀπαγγέλλω,348,christian_0_300,-1.0,
ἀφίστημι,346,christian_0_300,1,
προσάγω,345,christian_0_300,-1.0,
ὑπομένω,343,christian_0_300,-1.0,
μετάνοια,343,christian_0_300,-1.0,
θυμός,342,christian_0_300,3,
ἴσος,340,christian_0_300,-1.0,
προφητικός,340,christian_0_300,-1.0,
κρύπτω,339,christian_0_300,2,
ἀνομία,339,christian_0_300,4.0,
προσέχω,339,christian_0_300,-1.0,
κατασκευάζω,339,christian_0_300,-1.0,
τίκτω,338,christian_0_300,-1.0,
παρέρχομαι,336,christian_0_300,-1.0,
πέτρα,336,christian_0_300,-1.0,
οἰκονομία,336,christian_0_300,-1.0,
πόλεμος,334,christian_0_300,5.0,
εἰσάγω,334,christian_0_300,-1.0,
διαφορά,334,christian_0_300,5.0,
ἐπίσκοπος,333,christian_0_300,-1.0,
ἀήρ,333,christian_0_300,-1.0,
ἀρνέομαι,332,christian_0_300,1,
ὄφις,331,christian_0_300,1.0,
